ID 90minut,ID transfermarkt,Imie i Nazwisko,Pozycja,Transfer: sezon,Transfer: data,Transfer: z klubu,Transfer: do klubu,Transfer: wartość rynkowa,Transfer: cena,Sezon_young,Transfer po utracie statusu
13389,117683,Michał Chrapek,Ofensywny pomocnik,2014/2015,01.07.2014,Wisła Kraków,Catania Calcio,1200000,1400000,2013/2014,True
14582,201193,Dominik Kun,Defensywny pomocnik,2015/2016,28.08.2015,Pogoń Szczecin,Wisła Płock,200000,25000,2014/2015,True
15331,182953,Wojciech Lisowski,Środkowy obrońca,2014/2015,16.07.2014,Pogoń Szczecin,Chojniczanka,250000,za darmo,2013/2014,True
15914,169217,Michal Efir,Środkowy napastnik,2014/2015,01.07.2014,Legia Warszawa,Ruch Chorzów,150000,25000,2013/2014,True
16534,81409,Jakub Bak,Prawy obrońca,2015/2016,01.07.2015,Pogoń Szczecin,Wisła Płock,200000,za darmo,2014/2015,True
16672,257442,Tomasz Kowalski,Ofensywny pomocnik,2014/2015,08.08.2014,Widzew Łódź,ŁKS Łódź,50000,za darmo,2013/2014,True
16981,264796,Rafał Augustyniak,Defensywny pomocnik,2014/2015,23.01.2015,Widzew Łódź,Jagiellonia Białystok,100000,50000,2014/2015,False
17419,153667,Bartłomiej Pawłowski,Ofensywny pomocnik,2014/2015,01.07.2014,Widzew Łódź,Lechia Gdańsk,1000000,600000,2013/2014,True
17750,175947,Michał Nalepa,Środkowy obrońca,2014/2015,01.07.2014,Wisła Kraków,Ferencváros,300000,za darmo,2013/2014,False
17753,175262,Tomasz Ptak,Bramkarz,2014/2015,01.01.2015,Zagłębie Lubin,Zatoka Braniewo,200000,za darmo,2013/2014,True
17779,125998,Patryk Fryc,Prawy obrońca,2014/2015,01.07.2014,Wisła Kraków,Termalica Bruk-Bet Nieciecza,250000,za darmo,2013/2014,False
17898,216484,Kamil Wlodyka,Ofensywny pomocnik,2016/2017,30.08.2016,Ruch Chorzów,MKS Trzebinia,100000,za darmo,2015/2016,True
18388,187976,Krystian Nowak,Środkowy obrońca,2016/2017,08.08.2016,Podbeskidzie Bielsko-Biała,Heart of Midl.,150000,za darmo,2015/2016,True
18414,216481,Michal Szewczyk,Lewy skrzydłowy,2014/2015,01.07.2014,Wisła Kraków,Ruch Chorzów,100000,za darmo,2013/2014,True
19103,278113,Sebastian Bartlewski,Ofensywny pomocnik,2016/2017,22.07.2016,Podbeskidzie Bielsko-Biała,Kotwica,50000,za darmo,2015/2016,True
19641,193345,Lukasz Kacprzycki,Prawy skrzydłowy,2014/2015,22.07.2014,Lechia Gdańsk,Wisła Płock,100000,za darmo,2013/2014,False
19651,220976,Sebastian Steblecki,Ofensywny pomocnik,2014/2015,01.09.2014,Cracovia,SC Cambuur,250000,50000,2013/2014,True
19860,239743,Przemyslaw Frankowski,Prawy obrońca,2014/2015,01.08.2014,Lechia Gdańsk,Jagiellonia Białystok,300000,75000,2016/2017,False
20241,225908,Przemyslaw Kita,Lewy skrzydłowy,2015/2016,16.07.2015,Cracovia,Znicz Pruszkow,100000,za darmo,2014/2015,True
20314,210364,Patryk Stępiński,Środkowy obrońca,2014/2015,29.08.2014,Widzew Łódź,Wisła Płock,200000,20000,2016/2017,False
20317,296857,Tomasz Zajac,Lewy pomocnik,2017/2018,21.07.2017,Korona Kielce,Stomil Olsztyn,100000,za darmo,2016/2017,True
20317,296857,Tomasz Zajac,Lewy pomocnik,2015/2016,01.07.2015,Wisła Kraków,Korona Kielce,150000,za darmo,2016/2017,False
21465,236966,Adam Dzwigala,Środkowy obrońca,2017/2018,01.07.2017,Lechia Gdańsk,Wisła Płock,150000,za darmo,2016/2017,True
21465,236966,Adam Dzwigala,Środkowy obrońca,2014/2015,01.07.2014,Jagiellonia Białystok,Lechia Gdańsk,250000,250000,2016/2017,False
